# Euromilhões data from each draw (top 3 prize count) - All participating countries
# Scraped from draw 373.0 (oldest, Oct/2004) to 12994.0 (Oct/2023)
# Between the first draw, 373.0 (Oct/2004), and the draw ID 12994.0 (Oct/2023), over 1600 draws happened
# Since 2011-05-06 (draw 6721.0) Euromilhões has draws every Friday and Tuesday (before the date, only Fridays)
# Run using Python v3.10 with libraries: requests, BeautifulSoup
# Created by Fernando Abreu, at 2023-10-05 19:55:18 UTC
# Source of data: https://www.jogossantacasa.pt/web/SCCartazResult/euroMilhoes
draw,date,wins
5462.0,2008-11-07,25
5463.0,2008-11-14,33
5464.0,2008-11-21,24
5465.0,2008-11-28,25
5466.0,2008-12-05,31
5467.0,2008-12-12,15
5468.0,2008-12-19,11
5469.0,2008-12-26,8
5694.0,2009-01-02,9
5695.0,2009-01-09,28
5696.0,2009-01-16,14
5697.0,2009-01-23,8
5698.0,2009-01-30,12
5699.0,2009-02-06,64
5700.0,2009-02-13,16
5701.0,2009-02-20,7
5702.0,2009-02-27,14
5703.0,2009-03-06,56
5704.0,2009-03-13,39
5705.0,2009-03-20,35
5706.0,2009-03-27,14
5707.0,2009-04-03,10
5708.0,2009-04-10,11
5709.0,2009-04-17,28
5710.0,2009-04-24,25
5711.0,2009-05-01,42
5712.0,2009-05-08,43
5713.0,2009-05-15,12
5714.0,2009-05-22,16
5715.0,2009-05-29,17
5716.0,2009-06-05,21
5717.0,2009-06-12,20
5718.0,2009-06-19,14
5719.0,2009-06-26,28
5982.0,2009-07-03,13
5983.0,2009-07-10,22
5984.0,2009-07-17,23
5985.0,2009-07-24,19
5986.0,2009-07-31,25
5987.0,2009-08-07,21
5988.0,2009-08-14,23
5989.0,2009-08-21,29
5990.0,2009-08-28,13
5991.0,2009-09-04,12
5992.0,2009-09-11,16
5993.0,2009-09-18,31
5994.0,2009-09-25,16
6077.0,2009-10-02,14
6078.0,2009-10-09,17
6079.0,2009-10-16,11
6080.0,2009-10-23,24
6081.0,2009-10-30,23
6082.0,2009-11-06,26
6083.0,2009-11-13,25
6084.0,2009-11-20,14
6085.0,2009-11-27,28
6086.0,2009-12-04,23
6087.0,2009-12-11,12
6088.0,2009-12-18,15
6089.0,2009-12-25,10
6214.0,2010-01-01,22
6215.0,2010-01-08,10
6216.0,2010-01-15,28
6217.0,2010-01-22,14
6218.0,2010-01-29,17
6219.0,2010-02-05,34
6220.0,2010-02-12,34
6221.0,2010-02-19,16
6222.0,2010-02-26,30
6223.0,2010-03-05,19
6224.0,2010-03-12,11
6225.0,2010-03-19,22
6226.0,2010-03-26,19
6285.0,2010-04-02,23
6286.0,2010-04-09,11
6287.0,2010-04-16,30
6288.0,2010-04-23,13
6289.0,2010-04-30,23
6290.0,2010-05-07,34
6291.0,2010-05-14,37
6292.0,2010-05-21,24
6293.0,2010-05-28,14
6294.0,2010-06-04,19
6295.0,2010-06-11,18
6296.0,2010-06-18,5
6297.0,2010-06-25,22
6401.0,2010-07-02,5
6402.0,2010-07-09,8
6403.0,2010-07-16,27
6404.0,2010-07-23,9
6405.0,2010-07-30,16
6406.0,2010-08-06,10
6407.0,2010-08-13,40
6408.0,2010-08-20,12
6409.0,2010-08-27,19
6410.0,2010-09-03,22
6411.0,2010-09-10,20
6412.0,2010-09-17,19
6413.0,2010-09-24,12
6499.0,2010-10-01,34
6500.0,2010-10-08,29
6501.0,2010-10-15,14
6502.0,2010-10-22,29
6503.0,2010-10-29,15
6504.0,2010-11-05,19
6505.0,2010-11-12,26
6506.0,2010-11-19,40
6507.0,2010-11-26,19
6508.0,2010-12-03,16
6509.0,2010-12-10,12
6510.0,2010-12-17,21
6511.0,2010-12-24,19
6512.0,2010-12-31,20
6600.0,2011-01-07,38
6601.0,2011-01-14,17
6602.0,2011-01-21,49
6603.0,2011-01-28,19
6604.0,2011-02-04,29
6605.0,2011-02-11,21
6606.0,2011-02-18,15
6607.0,2011-02-25,14
6608.0,2011-03-04,22
6609.0,2011-03-11,24
6610.0,2011-03-18,45
6611.0,2011-03-25,54
6716.0,2011-04-01,31
6717.0,2011-04-08,15
6718.0,2011-04-15,31
6719.0,2011-04-22,18
6720.0,2011-04-29,6
6721.0,2011-05-06,34
6795.0,2011-05-10,21
6796.0,2011-05-13,32
6875.0,2011-05-17,9
6876.0,2011-05-20,22
6877.0,2011-05-24,10
6878.0,2011-05-27,23
6879.0,2011-05-31,16
6880.0,2011-06-03,14
6881.0,2011-06-07,9
6882.0,2011-06-10,18
6883.0,2011-06-14,14
6884.0,2011-06-17,23
6885.0,2011-06-21,12
6886.0,2011-06-24,36
6887.0,2011-06-28,14
6888.0,2011-07-01,42
6889.0,2011-07-05,23
6890.0,2011-07-08,30
6891.0,2011-07-12,27
6892.0,2011-07-15,12
6893.0,2011-07-19,10
6894.0,2011-07-22,23
6895.0,2011-07-26,10
6896.0,2011-07-29,15
6897.0,2011-08-02,5
6898.0,2011-08-05,15
6899.0,2011-08-09,4
6900.0,2011-08-12,20
6901.0,2011-08-16,8
6902.0,2011-08-19,23
6903.0,2011-08-23,5
6904.0,2011-08-26,33
6905.0,2011-08-30,12
6906.0,2011-09-02,24
6907.0,2011-09-06,16
6908.0,2011-09-09,11
6909.0,2011-09-13,12
6910.0,2011-09-16,14
6911.0,2011-09-20,10
6912.0,2011-09-23,14
6913.0,2011-09-27,4
6914.0,2011-09-30,33
6915.0,2011-10-04,22
6916.0,2011-10-07,39
6917.0,2011-10-11,11
6918.0,2011-10-14,25
6919.0,2011-10-18,6
6920.0,2011-10-21,15
6921.0,2011-10-25,5
6922.0,2011-10-28,9
6923.0,2011-11-01,3
6924.0,2011-11-04,12
6925.0,2011-11-08,12
6926.0,2011-11-11,24
6954.0,2011-11-15,5
6955.0,2011-11-18,18
6956.0,2011-11-22,6
6957.0,2011-11-25,21
6958.0,2011-11-29,5
6959.0,2011-12-02,12
6960.0,2011-12-06,8
6961.0,2011-12-09,18
6962.0,2011-12-13,11
6963.0,2011-12-16,33
6964.0,2011-12-20,11
6965.0,2011-12-23,24
6966.0,2011-12-27,6
6967.0,2011-12-30,8
7110.0,2012-01-03,3
7111.0,2012-01-06,37
7112.0,2012-01-10,8
7113.0,2012-01-13,20
7114.0,2012-01-17,16
7115.0,2012-01-20,16
7116.0,2012-01-24,3
7117.0,2012-01-27,20
7118.0,2012-01-31,9
7119.0,2012-02-03,20
7120.0,2012-02-07,21
7121.0,2012-02-10,6
7122.0,2012-02-14,11
7123.0,2012-02-17,23
7124.0,2012-02-21,16
7125.0,2012-02-24,25
7126.0,2012-02-28,10
7127.0,2012-03-02,10
7128.0,2012-03-06,7
7129.0,2012-03-09,7
7130.0,2012-03-13,10
7131.0,2012-03-16,16
7132.0,2012-03-20,10
7133.0,2012-03-23,19
7134.0,2012-03-27,9
7135.0,2012-03-30,14
7136.0,2012-04-03,16
7137.0,2012-04-06,20
7171.0,2012-04-10,11
7172.0,2012-04-13,42
7173.0,2012-04-17,6
7174.0,2012-04-20,18
7175.0,2012-04-24,6
7176.0,2012-04-27,9
7177.0,2012-05-01,11
7178.0,2012-05-04,9
7179.0,2012-05-08,10
7180.0,2012-05-11,16
7181.0,2012-05-15,18
7182.0,2012-05-18,14
7183.0,2012-05-22,13
7184.0,2012-05-25,20
7185.0,2012-05-29,38
7186.0,2012-06-01,20
7187.0,2012-06-05,13
7188.0,2012-06-08,64
7189.0,2012-06-12,8
7190.0,2012-06-15,25
7191.0,2012-06-19,12
7192.0,2012-06-22,6
7193.0,2012-06-26,8
7194.0,2012-06-29,24
7195.0,2012-07-03,15
7196.0,2012-07-06,8
7283.0,2012-07-10,13
7284.0,2012-07-13,23
7285.0,2012-07-17,12
7286.0,2012-07-20,14
7287.0,2012-07-24,12
7288.0,2012-07-27,41
7289.0,2012-07-31,18
7290.0,2012-08-03,16
7291.0,2012-08-07,28
7292.0,2012-08-10,39
7293.0,2012-08-14,9
7294.0,2012-08-17,15
7295.0,2012-08-21,3
7296.0,2012-08-24,18
7297.0,2012-08-28,11
7298.0,2012-08-31,11
7299.0,2012-09-04,8
7300.0,2012-09-07,14
7301.0,2012-09-11,20
7302.0,2012-09-14,25
7303.0,2012-09-18,6
7304.0,2012-09-21,12
7305.0,2012-09-25,13
7306.0,2012-09-28,50
7307.0,2012-10-02,13
7308.0,2012-10-05,19
7383.0,2012-10-09,27
7384.0,2012-10-12,11
7385.0,2012-10-16,15
7386.0,2012-10-19,13
7387.0,2012-10-23,9
7388.0,2012-10-26,15
7389.0,2012-10-30,15
7390.0,2012-11-02,26
7391.0,2012-11-06,16
7392.0,2012-11-09,23
7393.0,2012-11-13,47
7394.0,2012-11-16,21
7395.0,2012-11-20,9
7396.0,2012-11-23,26
7397.0,2012-11-27,14
7398.0,2012-11-30,15
7399.0,2012-12-04,8
7400.0,2012-12-07,15
7401.0,2012-12-11,6
7402.0,2012-12-14,20
7403.0,2012-12-18,9
7404.0,2012-12-21,32
7405.0,2012-12-25,14
